"","AP","APAE","AD","IG","DSQ","US","FT","SD","HC","AX","ST","DM"
"AP",678.6025,542.0484,547.08126,446.197425,177.00975,141.4515,319.438125,295.60498,189.370475,180.971955,258.45768,111.82223
"APAE",542.0484,676.5201,562.793976,429.880275,176.73795,155.35773,297.68445,288.443097,178.275141,145.721025,231.59304,107.356275
"AD",547.08126,562.793976,1012.5124,592.83842,172.97352,155.50434,346.838,320.048742,211.488448,135.486378,234.755232,68.295266
"IG",446.197425,429.880275,592.83842,903.0025,179.68698,171.330075,311.16775,271.246325,187.24155,202.02615,214.05216,99.2251
"DSQ",177.00975,176.73795,172.97352,179.68698,738.7524,597.72897,288.85545,245.34027,152.422722,109.638684,165.950208,67.31127
"US",141.4515,155.35773,155.50434,171.330075,597.72897,737.1225,310.73175,252.07146,169.17165,109.51767,172.674,76.201905
"FT",319.438125,297.68445,346.838,311.16775,288.85545,310.73175,742.5625,583.305325,350.90915,268.6959,402.0792,193.455925
"SD",295.60498,288.443097,320.048742,271.246325,245.34027,252.07146,583.305325,665.1241,321.39498,248.520177,380.536608,183.090947
"HC",189.370475,178.275141,211.488448,187.24155,152.422722,169.17165,350.90915,321.39498,431.3929,237.382407,290.61384,205.74762
"AX",180.971955,145.721025,135.486378,202.02615,109.638684,109.51767,268.6959,248.520177,237.382407,502.2081,427.5828,258.99237
"ST",258.45768,231.59304,234.755232,214.05216,165.950208,172.674,402.0792,380.536608,290.61384,427.5828,647.1936,260.408928
"DM",111.82223,107.356275,68.295266,99.2251,67.31127,76.201905,193.455925,183.090947,205.74762,258.99237,260.408928,272.5801
